Kernel,gx,gy,gz,bx,by,bz,nx,ny,nz,gpuId,occupancy
0,14,1,14,4,8,8,224,224,224,0,0.871288
2,14,112,1,32,1,1,224,224,224,0,0.871514
1,8,2,7,14,2,16,224,224,224,0,0.872057
2,1,32,7,112,1,2,224,224,224,0,0.871027
3,1,14,4,7,16,8,224,224,224,0,0.483636
2,4,98,2,16,1,4,224,224,224,0,0.871828
1,2,49,16,4,2,4,224,224,224,0,0.871401
1,2,1,56,16,1,28,224,224,224,0,0.871277
1,28,1,14,2,64,1,224,224,224,0,0.872007
2,8,28,1,14,4,4,224,224,224,0,0.871974
0,4,14,2,4,56,2,224,224,224,0,0.383181
3,196,1,8,2,1,16,224,224,224,0,0.871196
1,196,1,8,1,16,2,224,224,224,0,0.915677
2,1,56,1,64,7,2,224,224,224,0,0.871463
1,16,7,2,8,1,28,224,224,224,0,0.871517
1,4,14,2,112,4,1,224,224,224,0,0.871914
1,2,28,7,8,4,4,224,224,224,0,0.871309
2,1,49,2,32,4,4,224,224,224,0,0.470085
1,7,4,4,1,32,14,224,224,224,0,0.871016
1,2,196,4,16,1,2,224,224,224,0,0.871586
2,4,1,56,1,112,2,224,224,224,0,0.87104
1,8,14,1,32,2,7,224,224,224,0,0.871653
3,98,8,1,8,4,2,224,224,224,0,0.871656
0,1,7,14,1,512,1,224,224,224,0,0.871495
2,2,14,2,2,7,64,224,224,224,0,0.871096
1,56,1,4,4,4,14,224,224,224,0,0.87145
1,4,14,1,7,128,1,224,224,224,0,0.871606
0,16,98,1,1,4,8,224,224,224,0,0.870792
2,7,4,4,8,1,56,224,224,224,0,0.853824
2,7,1,112,1,4,16,224,224,224,0,0.857348
2,2,2,56,8,7,4,224,224,224,0,0.475065
1,28,4,2,7,16,2,224,224,224,0,0.871352
2,196,4,1,4,1,16,224,224,224,0,0.871737
1,28,28,1,16,4,1,224,224,224,0,0.870811
1,1,7,16,1,16,28,224,224,224,0,0.871811
1,2,7,7,1,16,32,224,224,224,0,0.871949
2,1,7,8,14,4,16,224,224,224,0,0.87181
0,14,1,4,2,32,14,224,224,224,0,0.871875
2,1,196,2,32,2,2,224,224,224,0,0.48675
2,7,14,8,64,1,1,224,224,224,0,0.879957
1,28,7,1,4,16,4,224,224,224,0,0.871589
1,7,4,28,2,16,2,224,224,224,0,0.8709
2,1,112,14,32,1,1,224,224,224,0,0.871526
3,16,49,1,16,1,4,224,224,224,0,0.870685
0,7,8,1,8,56,2,224,224,224,0,0.8716
2,16,2,7,8,1,28,224,224,224,0,0.85261
3,14,14,8,1,32,1,224,224,224,0,0.770252
1,7,4,7,8,32,1,224,224,224,0,0.871631
2,8,7,1,8,14,8,224,224,224,0,0.871656
2,28,8,1,1,14,16,224,224,224,0,0.484471
0,1,14,7,1,256,2,224,224,224,0,0.871486
1,1,2,49,4,8,16,224,224,224,0,0.469702
2,1,56,2,7,16,4,224,224,224,0,0.768156
1,2,196,1,8,8,2,224,224,224,0,0.871297
1,7,7,4,128,1,2,224,224,224,0,0.87159
2,4,14,28,1,2,16,224,224,224,0,0.879414
1,4,1,14,4,4,56,224,224,224,0,0.871588
2,7,16,14,2,2,8,224,224,224,0,0.871192
0,14,4,14,32,1,2,224,224,224,0,0.857305
2,98,2,2,128,1,1,224,224,224,0,0.871307
1,2,2,14,448,2,1,224,224,224,0,0.494827
1,8,1,7,14,64,1,224,224,224,0,0.884239
1,7,8,1,16,56,1,224,224,224,0,0.87164
2,28,2,1,16,1,56,224,224,224,0,0.871425
1,4,56,1,1,28,8,224,224,224,0,0.871386
3,16,1,7,56,2,4,224,224,224,0,0.810863
2,392,2,1,2,32,1,224,224,224,0,0.834921
2,7,2,4,1,14,64,224,224,224,0,0.852175
3,196,4,2,1,4,8,224,224,224,0,0.871218
2,8,2,14,28,2,4,224,224,224,0,0.871211
1,1,1,224,8,28,1,224,224,224,0,0.850195
2,2,2,28,1,7,64,224,224,224,0,0.768337
1,1,14,8,2,32,7,224,224,224,0,0.87166
1,1,28,4,2,112,2,224,224,224,0,0.87143
2,1,28,8,28,4,2,224,224,224,0,0.477065
0,7,2,4,224,2,2,224,224,224,0,0.871529
1,1,392,1,1,4,32,224,224,224,0,0.871654
0,7,8,1,896,1,1,224,224,224,0,0.871351
2,28,1,14,2,64,1,224,224,224,0,0.871276
1,1,7,224,1,16,2,224,224,224,0,0.871864
